case_path	baseline_category	baseline_reason_unverified	owner_title	owner_url	local_status
_04_misc/_05_query_cache/itrack_10005	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_04_misc/_05_query_cache/itrack_10006	C	'Histogram commands are not supported by this csql.'	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_04_misc/_05_query_cache/itrack_10007	C	'Histogram commands are not supported by this csql.'	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_04_misc/_05_query_cache/itrack_10008	C	'Histogram commands are not supported by this csql.'	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_04_misc/_05_query_cache/itrack_10009	C	'Histogram commands are not supported by this csql.'	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_04_misc/_05_query_cache/itrack_10010	C	'Histogram commands are not supported by this csql.' (multiple)	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_04_misc/_05_query_cache/itrack_10011	K	cubrid createdb failed: stale volume file 'testdb_vinf' already exists in the test case dir from a prior/leftover run, cascading into 'canno	환경·JDBC 로그 변경·시간 플레이키 TC 판정	https://github.com/xmilex-git/workspace/issues/232	recheck_required
_04_misc/_05_query_cache/itrack_10018	C	'Histogram commands are not supported by this csql.'	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_04_misc/_05_query_cache/itrack_10019	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_05_addition/bug_cubridsus2023	B	direct CS-mode client 'active_query' segfaults in db_query_end_internal (src/compat/db_query.c:3653)	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_05_addition/bug_xdbms802	C	csql histogram no longer emits 'Histogram is allowed only for DBA' for a non-DBA user	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_05_addition/bug_xdbms_sus1092	UNEXECUTED	was unexecuted (node hang) in prior run	미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_05_addition/bug_xdbms_sus1420	C	csql histogram no longer prints 'SERVER EXECUTION STATISTICS' block	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_05_addition/bug_xdbms_sus1545	A	'cubrid broker status -f' no longer reports any CLIENT rows (no CAS pool to enumerate)	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_05_addition/bug_xdbms_sus1660	C	csql histogram error-reporting ('ER' lines) not produced for a large cross-join query, likely because histogram itself is disabled	csql histogram·드라이버 상세 계측 — 세션 귀속·권한·초기화 복구	https://github.com/xmilex-git/workspace/issues/224	recheck_required
_05_addition/bug_xdbms_sus1937	A	'cubrid broker status' output format/line-count differs from the recorded answer (extra 'HANDOFFS' column, no per-CAS rows)	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_05_addition/bug_xdbms_sus1955	C	csql.err client-side error log file gets no 'WARNING' entry even though the error is printed to stdout normally	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_05_addition/bug_xdbms_sus1964	A	broker error_log directory never created ($CUBRID/log/broker/error_log/*.err missing) though JDBC driver itself reports 'Has been interrupte	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_10_1h/bug_2796	C	';plan detail' session command produces no query-plan/dump text in the thin csql (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_10_1h/bug_3092	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_10_1h/bug_3427	E	CCI cci_cursor_update() on an updatable holdable cursor reports success but the update is not persisted (select afterward shows the old valu	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_06_issues/_10_1h/bug_3734	A	SIGKILL of a --no-auto-commit csql client mid multi-statement transaction: expected 'Unknown class dba.t1' (rollback of the uncommitted CREA	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_10_2h/bug_xdbms913	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_11_1h/bug_bts_1305	C	';plan detail' produces no Join graph / Query plan output at all (PrintInfo.exp), so downstream 'N command(s) successfully processed.' marke	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_1484	C	';plan detail' produces no Join graph / Query plan output (same PrintInfo.exp mechanism as bug_bts_1305)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_2166	C	';plan detail' produces no Join graph / Query plan output (same PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_2562	C	case 2 (data.result vs data.expect, the actual SELECT result rows captured from the same ';plan detail' PrintInfo.exp session) diverges — li	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_2791	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_11_1h/bug_bts_351	C	';plan detail' produces no Join graph / Query plan output (same PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4033	C	';plan detail' PrintInfo.exp session never reaches the '10 command(s) successfully processed.' marker so the '3 rows selected' count check f	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4059	C	';plan detail' produces no Join graph / Query plan output (same PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4083	C	';plan detail' produces no Join graph / Query plan output (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_430	C	';plan detail' produces no Join graph / Query plan output (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4321_1	A	test greps 'ps -f' for 'broker1_cub_cas_N' process names to get per-CAS pids for broker_changer/broker status -f checks; those processes no	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_11_1h/bug_bts_443	C	';plan detail' produces no Join graph / Query plan output (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4470	C	';plan detail' produces no Join graph / Query plan output (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4671	C	';plan detail' produces no Join graph / Query plan output (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4697	F	JDBC 'Request timed out' exception under a 40-thread/20-iteration concurrent load test, expected clean 4-line output	PL/CSQL·JavaSP·대기 TC 계열 — isolation·콜백·동시 접속	https://github.com/xmilex-git/workspace/issues/228	recheck_required
_06_issues/_11_1h/bug_bts_4704	C	';plan detail' produces no Join graph / Query plan output (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4826	C	PrintInfo.exp/';plan detail' session's captured SELECT result rows (CONNECT BY hierarchical query) missing entirely from actual output	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4835	C	';plan detail' produces no Join graph / Query plan output (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_4900	C	';plan detail' produces no Join graph / Query plan output (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_bts_5019	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_11_1h/bug_bts_5095	G	case 2 expects 'Failed to connect' in the JDBC exception message when connecting to a never-created database while server/broker are up; mes	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_06_issues/_11_1h/bug_bts_5096	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_11_1h/bug_bts_5097	B	"direct CS-mode client 'obj' (libcubridcs, db_restart(""applylogdb"",0,""foo"")) produces zero stdout at all (insert1.log/select1.log fully empty"	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_06_issues/_11_1h/bug_bts_5452	L	log file is essentially empty (only TEST/NODE/RUNTIME header, 'Test failed', no console output captured); node id itself is '?'	미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_11_1h/bug_bts_825	C	';plan detail' produces no Join graph / Query plan output (PrintInfo.exp mechanism)	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_1h/bug_xdbms4268	C	csql ';x' execute-and-continue session command intermittently omits the '<N> command(s) successfully processed.' tally line (LOB/autocommit-	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_11_2h/bug_bts_5423	A	case 6 paramdump diff: actual server parameter list has 3 new/extra entries not in the saved answer -- '[S] ddl_audit_log_size', '[S] cas_sq	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_11_2h/bug_bts_5717	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_11_2h/bug_bts_5783	A	broker_changer SLOW_LOG / SLOW_LOG_DIR rejected with 'Cannot change SLOW_LOG on a direct-handoff broker; CAS execution parameters are server	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_11_2h/bug_bts_5784	UNEXECUTED	was unexecuted (node hang) in prior run	미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_11_2h/bug_bts_6199	A	'cubrid broker status -f' never shows IDLE/BUSY connection-state columns for a long-running query (no per-CAS state to report)	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_11_2h/bug_bts_6290	G	large (~120MB) BLOB insert via JDBC fails mid-transfer with 'Cannot communicate with the broker', row never persisted	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_06_issues/_11_2h/bug_bts_6347	A	'cubrid broker status -b -f' no longer has per-CAS '*' rows with a numeric request-count column 16 to sum	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_1h/bug_bts_6070	NEW		환경·JDBC 로그 변경·시간 플레이키 TC 판정	https://github.com/xmilex-git/workspace/issues/232	recheck_required
_06_issues/_12_1h/bug_bts_6159	C	expected 'skipping' warning for the ';ex' (ambiguous/short) session command no longer appears	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_12_1h/bug_bts_6364	A	broker per-CAS sql_log file never created; 'query_cancel client ip ... port' line never logged	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_1h/bug_bts_6779	A	'cubrid broker status' output has no per-CAS IDLE/CLOSE status entries to count	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_1h/bug_bts_6910	A	per-CAS unix domain sockets ($CUBRID/var/CUBRID_SOCK/broker1.1..5) are never created (no CAS pool)	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_1h/bug_bts_7592	UNEXECUTED	was unexecuted (node hang) in prior run	미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_12_1h/bug_bts_8041	F	test framework killed the run after >23 minutes (1388s, over the 10-minute CTP limit); test deliberately points databases.txt at an unreacha	PL/CSQL·JavaSP·대기 TC 계열 — isolation·콜백·동시 접속	https://github.com/xmilex-git/workspace/issues/228	recheck_required
_06_issues/_12_1h/bug_bts_8649	G	overly-long username is no longer rejected client-side before the connection attempt; now fails with the generic adoption-socket connect err	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_06_issues/_12_2h/bug_bts_10045	A	broker_changer APPL_SERVER_MAX_SIZE_HARD_LIMIT change reports unexpected 'fail' outcomes (8 instead of 0) even before the deliberately-inval	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_10260	A	broker_changer APPL_SERVER_MAX_SIZE_HARD_LIMIT no longer produces the 'must be between 1 and 2097151' validation message for an out-of-range	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_6987	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_12_2h/bug_bts_7549	A	broker per-CAS sql_log file (broker1*.log) never created under a MIN/MAX_NUM_APPL_SERVER=5 config	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_7625	E	csql ';set access_ip_control=y' now errors ('error: set access_ip_control=y') instead of succeeding	세션·설정 파일 TC 계열 — client-only 값·locale·설정 우선순위	https://github.com/xmilex-git/workspace/issues/226	recheck_required
_06_issues/_12_2h/bug_bts_7666	A	broker per-CAS sql_log/error_log files never created ('prepare srv_h_id error:-494', 'was not found', 'COMMUNICATION ERROR net_read_header',	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_7956	A	expects a JDBC queryTimeout parameter (':?queryTimeout=60001') recorded in the per-CAS sql_log; log file/content absent	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_8144	NEW		환경·JDBC 로그 변경·시간 플레이키 TC 판정	https://github.com/xmilex-git/workspace/issues/232	recheck_required
_06_issues/_12_2h/bug_bts_8303	H	cub_server segfaults at startup inside the new master connector's epoll wait loop (cubconn::master::connector::run -> execute -> cubsocket::	코어·MERGE·클라이언트 kill TC 계열 — 종료 시그니처 판정	https://github.com/xmilex-git/workspace/issues/229	recheck_required
_06_issues/_12_2h/bug_bts_8351	A	broker/server log files are not recreated after deletion under sustained concurrent load: 'log File is not exist' fires 10000 times (r2), an	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_8563	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_12_2h/bug_bts_8907	A	a CCI client reconnecting after a mid-session 'cubrid server stop/start' gets 'cci_prepare fail: -20004' instead of the expected retryable '	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_8973	A	same recurring '-20004' CCI reconnect error after mid-session server restart as bug_bts_8907 (test explicitly asserts 20004 must NOT appear)	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_9010	G	expected client-side message 'Your transaction has been aborted by the system due to server failure or mode change' does not appear in csql	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_06_issues/_12_2h/bug_bts_9478	A	'cubrid broker status' never shows the expected number of per-CAS CLOSE_WAIT rows	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_9602_1	A	'cubrid broker status' no longer prints the per-CAS 'ID PID QPS PSIZE STATUS' table header/columns	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_9602_2	UNEXECUTED	was unexecuted (node hang) in prior run	미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_12_2h/bug_bts_9602_3	A	'cubrid broker status' never shows the per-CAS CLOSE_WAIT state after a client is killed (same family as bug_bts_9478/bug_bts_6199)	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_12_2h/bug_bts_9611	L	case 3 (Test_Multi.java, run after a 'cubrid broker start' with the broker already running) expects a 'CAS...SESSION...URL' pattern in a JDB	운영 호환 구현 잔여 — 로그·동적 제어·접속 종류·query replace	https://github.com/xmilex-git/workspace/issues/222	recheck_required
_06_issues/_12_2h/bug_bts_9967	E	'update statistics on t1;' no longer prints the 'Statistics updated successfully: 1 table, 1 column.' confirmation message (same family as t	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_13_1h/bug_bts_10055	C	interactive csql session ending with ';ex' no longer prints the '<N> command(s) successfully processed.' tally line (9 of 9 interactive case	csql 출력·이력·실행계획 TC 계열 — 원본 재현과 렌더링 호환	https://github.com/xmilex-git/workspace/issues/225	recheck_required
_06_issues/_13_1h/bug_bts_10073	G	connecting to an unknown database now returns the generic 'cannot connect to the server adoption socket' error instead of 'Failed to connect	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_06_issues/_13_1h/bug_bts_10181	A	broker per-CAS sql_log file never created; 'CAS MEMORY USAGE ... HAS EXCEEDED MAX SIZE' never logged	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_13_1h/bug_bts_10234	G	CCI connect to a nonexistent database returns error -20004 'Cannot communicate with server' instead of the expected -677 'Failed to connect	CS·CCI·접속 오류 TC 계열 — 유틸 접속·재시도·결과 정합성	https://github.com/xmilex-git/workspace/issues/227	recheck_required
_06_issues/_13_1h/bug_bts_10235	A	'cubrid broker status -f -b' has no 'broker1' row/columns to parse for total/wait CAS counts under MIN/MAX_NUM_APPL_SERVER config	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_13_1h/bug_bts_10274	NEW		미분류·신규 NOK TC 재판정 — 실제 diff로 담당 계열 확정	https://github.com/xmilex-git/workspace/issues/233	recheck_required
_06_issues/_13_1h/bug_bts_10502	A	JDBC connection to a stored-procedure-enabled db fails outright with 'Attempt to use a not supported service' instead of completing the Main	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_13_1h/bug_bts_10503	A	same 'Attempt to use a not supported service' JDBC failure as bug_bts_10502 (shared Main/DbTest/StressSchemaHelper functional-suite test fam	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
_06_issues/_13_1h/bug_bts_10505	A	same 'Attempt to use a not supported service' JDBC failure family (Main/DbTest test suite)	CAS·SHARD 가정 TC 이행 — 상태 조회·프로세스·로그 기대값 갱신	https://github.com/xmilex-git/workspace/issues/223	recheck_required
