case	baseline_status	action	reason	validation	evidence
_06_issues/_14_2h/bug_bts_13994/session_timeout	PASS @02b9bb4b0/2c2c55cae	pass	passed on baseline 02b9bb4b0/2c2c55cae, no change	PASS @02b9bb4b0/2c2c55cae (wf223-repro report_cases.tsv)	
_06_issues/_14_2h/bug_bts_14649	PASS @02b9bb4b0/2c2c55cae	pass	passed on baseline 02b9bb4b0/2c2c55cae, no change	PASS @02b9bb4b0/2c2c55cae (wf223-repro report_cases.tsv)	
_06_issues/_14_2h/bug_bts_15093	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_15_1h/bug_bts_14752	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_15_2h/bug_bts_17595_2	FAIL @02b9bb4b0/2c2c55cae	retire	JDBC 9.3 driver compatibility suite (policy 116 D3); installed driver diverges in all TZ answers	excluded in TC 4b2834dc0; gate2 R2 38/42 NOK with installed driver	gate2/evidence/R2_release/shard_2/test-shell.xml
_06_issues/_17_1h/cbrd_20145_1	FAIL @02b9bb4b0/2c2c55cae	blocked on 224	csql histogram/statistics outputs owned by ticket 224	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_17_1h/cbrd_20759/hide_cubrid_replay	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_18_1h/bug_bts_13845	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_18_1h/bug_bts_14303	FAIL @02b9bb4b0/2c2c55cae	pass	passed on fixed build (R4 ALL_OK)	PASS optdebug @e70167345 (R4)	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_18_1h/bug_bts_14305	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_20_1h/cbrd_23613_1	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	product decision	same SSL config requirement (+ sql_log file naming)	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_20_1h/cbrd_23613_5	FAIL @02b9bb4b0/2c2c55cae	product decision	same SSL config requirement	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_20_2h/cbrd_23688_1	FAIL @02b9bb4b0/2c2c55cae	product decision	"broker SSL=ON now requires DIRECT_HANDOFF_SSL_DB (B2 D9 shape A); legacy SSL confs fail at broker start: ""config error ... requires DIRECT_HANDOFF_SSL_DB"""	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_20_2h/cbrd_23688_4	FAIL @02b9bb4b0/2c2c55cae	product decision	same SSL config requirement	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_20_2h/cbrd_23688_5	FAIL @02b9bb4b0/2c2c55cae	product decision	same SSL config requirement	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_21_1h/cbrd_23860	PASS @02b9bb4b0/2c2c55cae	pass	passed on baseline 02b9bb4b0/2c2c55cae, no change	PASS @02b9bb4b0/2c2c55cae (wf223-repro report_cases.tsv)	
_06_issues/_21_1h/cbrd_23991	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_22_2h/cbrd_24517	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	migrate	session sql log created on first connection / slot naming (*.sql.log missing for log_top)	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_23_1h/cbrd_24644	FAIL @02b9bb4b0/2c2c55cae	product gap	per-session statistics JSON (num_query_*) empty on folded session	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_23_2h/cbrd_24679	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_24_1h/cbrd_25337	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_06_issues/_24_2h/cbrd_25078	FAIL @02b9bb4b0/2c2c55cae	product fix	engine e70167345: same login-tracking gap	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_06_issues/_24_2h/cbrd_25511	FAIL @02b9bb4b0/2c2c55cae	needs-info	cub_manager is not part of the engine build; local container cannot exercise cm_api. CI symptom: per-CAS log listing (25511) / ps cub_cas grep (25295)	cannot run locally	
_06_issues/_26_1h/cbrd_26745	FAIL @02b9bb4b0/2c2c55cae	migrate	retain400alternatingCCI/PL calls; server process stability	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_07_index_enhancement/_04_topn_prepare_stmt	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_07_index_enhancement/_05_topn_limit_external_sort	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_11_codecoverage/system_parameter/broker_file	FAIL @02b9bb4b0/2c2c55cae	migrate	actual broker cleanup after config deletion	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_28_features_844/issue_10676_caserror	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_28_features_844/issue_10986_eventlog/_01_eventlog_slowquery	FAIL @02b9bb4b0/2c2c55cae	product gap	slow-query event log bind section shows empty intl_* session params (same as 13392)	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_28_features_844/issue_10986_eventlog/_03_eventlog_tempvolume	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_28_features_844/issue_11202_temp_volume_create	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_29_features_920/issue_10952_set_names/_03_session_persistence	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_30_banana_qa/issue_14036_show_job_queue/_03_killtran	FAIL @02b9bb4b0/f926e0ee6 (bounded helper)	migrate+product fix	engine 7b2333c8b admin kill of adopted sessions; TC bounded helper	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_30_banana_qa/issue_14038_show_threads/_01_basic	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_30_banana_qa/issue_14038_show_threads/_02_extend_03	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_30_banana_qa/issue_14039_show_tran_tables/_02_extend_01	FAIL @02b9bb4b0/2c2c55cae	migrate	answer expects Client_program broker1_cub_cas_1 / user PUBLIC; folded session shows csql / DBA (policy 209 program name)	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_35_cherry/cbrd_22705_online_index_parallel/_03_check_index_normal	FAIL @02b9bb4b0/2c2c55cae	product defect (open)	online index build vs concurrent DML: assert scan_manager.c:6907 (2 threads) / earlier btree.c:32169; ~40% repro on fixed builds, 0/3 on upstream 5ae4560 (inconclusive); crash-dump race fixed by dbe9377f3 (gate4: 4992-byte dump with full stack)	FAIL/crash both modes; upstream A/B inconclusive	gate2/report.md, gate3/core, gate4/evidence/C3
_35_cherry/issue_21654_server_side_loaddb/loaddb_CS/_06_issues/_11_2h/bug_bts_5784	FAIL @02b9bb4b0/2c2c55cae	migrate	strip per-connection CAS INFO trailer before compare	PASS optdebug+release @e70167345/6eec636fd (gate2 R1/R2)	gate2/evidence/R1_optdebug,R2_release
_35_cherry/issue_22015_QEWC/big_data_1	FAIL @02b9bb4b0/2c2c55cae	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/big_data_2	FAIL @02b9bb4b0/2c2c55cae	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/cci_api	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/cci_ds	FAIL @02b9bb4b0/2c2c55cae	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/cci_holdability	FAIL @02b9bb4b0/2c2c55cae	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/error_test_1	FAIL @02b9bb4b0/2c2c55cae	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/error_test_2	FAIL @02b9bb4b0/2c2c55cae	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/holdability_1	FAIL @02b9bb4b0/2c2c55cae	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/holdability_2	FAIL @02b9bb4b0/2c2c55cae	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/jdbc_dbcp	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_35_cherry/issue_22015_QEWC/operation_type	FAIL @02b9bb4b0/2c2c55cae	product gap	"QEWC server-side autocommit (EXECUTE_QUERY_WITH_COMMIT) is not folded: sqmgr_execute_query_inprocess ignores the flag, CAS layer commits separately, debug marker ""transaction committed"" never logged; fix candidate = fold stran_server_auto_commit_or_abort into the in-process path"	pending (needs product decision/fix)	
_36_damson/cbrd_23726/csqltest	FAIL @02b9bb4b0/2c2c55cae	harness	compat answer variant lookup (ddl_audit.sql*_D*) fails; not a server behaviour	R4 NOK	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_37_elderberry/apis_869_jdbc_property	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_38_fig/cbrd_24416	FAIL @02b9bb4b0/2c2c55cae	pending		pending	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
_39_fig_cake/cbrd_24438	PASS @02b9bb4b0/2c2c55cae	pass	passed on baseline 02b9bb4b0/2c2c55cae, no change	PASS @02b9bb4b0/2c2c55cae (wf223-repro report_cases.tsv)	
_39_fig_cake/cbrd_25295	FAIL @02b9bb4b0/2c2c55cae	needs-info	cub_manager is not part of the engine build; local container cannot exercise cm_api. CI symptom: per-CAS log listing (25511) / ps cub_cas grep (25295)	cannot run locally	
_40_guava/cbrd_26401/26401_01	FAIL @02b9bb4b0/f926e0ee6 (original case unchanged)	retire	SHARD-key routing/invisible columns variant	EXCLUDED by conf in gate2 R4 (runner honoured exclusion)	gate2/evidence/R4_evidence/shard_*/test-shell.xml; r4-digest.txt
